Date,Name,Type_content,type event,host/colab/featuring,Location,Social Media post Official,registration_page,RVSP,Protocol to mint,NFT URL,CHAIN NFT,Mints NFT,POAP LINK,Collectors POAP,Chain POAP,Recap Social Media,Registro Fotografico,Carpeta del Evento,Youtube Recording
21/06/2024,Drumcode Cali,Proyecto,Colab,Alibmusic: instagram.com/alib.music ,Cento de Ventos Valle del Pacifico: https://valledelpacifico.co/en/valle-del-pacifico-event-center/  ,https://www.instagram.com/p/C7zag1hvZ_e/,https://valledelpacifico.co/events/concierto-electronico-drumcode/ ,NA,Unlock Protocol,https://basescan.org/address/0x1337722f177E99c8Cd490F432A319d8c7a003Ea8   /   https://basescan.org/address/0x0ecEAa7c20bEcAF159F362B48B19B3BCB44780Bd   /   https://basescan.org/address/0x114F67F5CA3656618dd5648D31E50ac8C0DAC046  /   https://basescan.org/address/0xeeb48f34E083D1c0069593424Dc0dD6055fD04e8   /   https://basescan.org/address/0x8dB8003c692d68dD20722EDA6FC4de8708Cd5ED6   /   https://basescan.org/address/0x9368cFbcb6beE198e191eb2cccB521a2aEBd03fe,Base,39,NA,NA,NA,https://www.instagram.com/p/C7cueOyMYb7/,https://drive.google.com/drive/folders/1W7Dq27f7zTipRjtke9A1Z999SDIwim6d?usp=drive_link,2024 06 24 ROAD TO DRUMCODE ,
28/07/2024,BASE Community Meetup #1 + Ethereum Birthday 2024,Meetup,own,NA,Binaural Gastrobar: https://maps.app.goo.gl/ZNouZAVnR6huCYgM7 ,https://www.instagram.com/p/C-AtSHGAxis/,https://lu.ma/b8xns9iz,33,Unlock Protocol,https://basescan.org/address/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,76,NA,NA,NA,https://x.com/ethereum_cali/status/1817944044107940245,https://drive.google.com/drive/u/0/folders/1idJB18whEHiZ4w3Av6ciTwQvI-ADsWVn,2024 07 28 - Base Meetup 1,
20/09/2024,Financiando tus bienes publicos con Giveth,Workshop,Colab,marketersweb3: https://x.com/marketersweb3   ,Online: https://happ3n.xyz/listing/financiando-tus-bienes-publicos-con-giveth/ ,https://x.com/ethereum_cali/status/1836134002320924993,,53,Unlock Protocol,https://optimistic.etherscan.io/token/0x62a2c557092eafe5c24151ed8e52ecaba6ac44a7,Optimism,51,NA,NA,NA,https://x.com/ethereum_cali/status/1837170007458918652,https://drive.google.com/drive/u/0/folders/1ZTmKTFLIkzGYkG4Y9ifGKi_dPEbNeJjs,2024 09 20 Financiando tus bienes publicos con Giveth,
11/11/2024,Devcon VII Thailandia,Event,Voluntering,https://devcon.org/en/,Queen Sirikit National Convention Center: https://maps.app.goo.gl/RUYsjPSQ4tHPGhz36 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://x.com/ethereum_cali/status/1856207604307112113,https://drive.google.com/drive/u/5/folders/1DqgUWFqp249w4SqCjdXmcdFfJhZD92Pa,,
12/11/2024,Base Community Meetup #2: Onchain Education with ICESI,Workshop,own,Universidad ICESI: https://www.icesi.edu.co,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8 ,https://farcaster.xyz/filadelfo/0x665b1843,https://lu.ma/kil2sxsa,24,Unlock Protocol,https://basescan.org/address/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,76,NA,NA,NA,https://x.com/ethereum_cali/status/1856207604307112113,https://drive.google.com/drive/u/5/folders/10IYh7mZY8EQbcb43CO2Z9Ue1ANAEJmpS,2024 11 12 -  Base meetup 2 - ICESI ONCHAIN PROGRAMS,
06/03/2025,Base Community Meetup #3: Build Digital Portfolios with DeFi & Ethereum,Workshop,own,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8  ,https://www.instagram.com/p/DHJGlA9stQ_/,https://lu.ma/gmx03hiy,38,Unlock Protocol,https://basescan.org/address/0x19f7b2834ca07ececefc21202714b3c667588aa9,Base,76,NA,NA,NA,https://x.com/ethereum_cali/status/1899697839933956144,https://drive.google.com/drive/u/5/folders/1cpZk7xQ7JxSjL6_M8fqzwUU8IJP9oAq9,2025 03 06 - Base meetup 3 -  Defi,
09/05/2025,Hacksession Base Batch LATAM: Zonamerica Colombia,Hackathon,Colab,Zona america: https://web.zonamerica.com/colombia/,Zona america: https://maps.app.goo.gl/TVrbvBFtNSAtXwmc8 ,https://www.instagram.com/p/DJUWDBNtKMd/,https://lu.ma/8waabg4p,18,NA,NA,NA,NA,NA,NA,NA,https://x.com/ethereum_cali/status/1921757100348199157,https://drive.google.com/drive/u/5/folders/1fIHEDtl17RvI5PbjL7evvdf66Kb4LZT0,2025 05 9 workshop base batches zona america,
17/05/2025,Open House USB,Proyecto,Colab,Universidad san Buenaventura: https://usbcali.edu.co/   ,Universidad san Buenaventura: https://maps.app.goo.gl/LyMuBxNwh3ucryJU7 ,https://www.instagram.com/p/DJVNlUON3Q0/?img_index=1,NA,NA,Unlock Protocol,https://basescan.org/address/0x7082f47ca600240f41a2fbee26a894d875a63b2f + https://basescan.org/token/0x5da697a6898f5ee8b258d38891c1a86e8bd9e4fb ,Base,91,NA,NA,NA,https://x.com/ethereum_cali/status/1923851977596994032,https://drive.google.com/drive/u/5/folders/1zCCdhp0_zmE-ei14Xm5qB9qiVeRlx1lG,2025 05 17 Open House USB,
22/05/2025,Global Pizza Party 2025,Meetup,Colab,Enefty: instagram.com/enefty.co/ ,Albahaca Terraza: https://maps.app.goo.gl/ptjQG1A1RoE6TmHX8 ,https://www.instagram.com/p/DJib9JetHWs/?img_index=1,https://app.unlock-protocol.com/event/global-pizza-party-cali,70,,https://basescan.org/token/0x95cDEA5535E8b601a4B588dF8F19bb02C618f0e1,Base,70,NA,NA,Base,https://x.com/ethereum_cali/status/1926393378444341576,https://drive.google.com/drive/u/5/folders/1wxH-HB2CiZ12M1aJpk9JW-DSQ2FdRAb9,2025 05 22 Global Pizza Party 2,
08/06/2025,Papayogin,Proyecto,Colab,la papaya: https://www.lapapaya.org/,Rio de Cali: https://maps.app.goo.gl/v3zr3VpMmAF53oPc6 ,https://www.instagram.com/p/DKxAt13MgNT/?img_index=1,https://www.lapapaya.org/registrations.html,100,Unlock Protocol,https://optimistic.etherscan.io/token/0xce984f9e6335198fff193cc0596489dc9e570f3f,Optimism,63,NA,NA,NA,https://x.com/ethereum_cali/status/1934763004903510431,https://drive.google.com/drive/u/0/folders/1tworC10KhfhWN01GOokqRlDjiIIBOeEG,2025 06 08 Papayogin,
